Name,Label
S0101_C01_001E,Estimate Total Total population
S0101_C01_002E,Estimate Total Total population AGE Under 5 years
S0101_C01_003E,Estimate Total Total population AGE 5 to 9 years
S0101_C01_004E,Estimate Total Total population AGE 10 to 14 years
S0101_C01_005E,Estimate Total Total population AGE 15 to 19 years
S0101_C01_006E,Estimate Total Total population AGE 20 to 24 years
S0101_C01_007E,Estimate Total Total population AGE 25 to 29 years
S0101_C01_008E,Estimate Total Total population AGE 30 to 34 years
S0101_C01_009E,Estimate Total Total population AGE 35 to 39 years
S0101_C01_010E,Estimate Total Total population AGE 40 to 44 years
S0101_C01_011E,Estimate Total Total population AGE 45 to 49 years
S0101_C01_012E,Estimate Total Total population AGE 50 to 54 years
S0101_C01_013E,Estimate Total Total population AGE 55 to 59 years
S0101_C01_014E,Estimate Total Total population AGE 60 to 64 years
S0101_C01_015E,Estimate Total Total population AGE 65 to 69 years
S0101_C01_016E,Estimate Total Total population AGE 70 to 74 years
S0101_C01_017E,Estimate Total Total population AGE 75 to 79 years
S0101_C01_018E,Estimate Total Total population AGE 80 to 84 years
S0101_C01_019E,Estimate Total Total population AGE 85 years and over
S0101_C01_020E,Estimate Total Total population SELECTED AGE CATEGORIES 5 to 14 years
S0101_C01_021E,Estimate Total Total population SELECTED AGE CATEGORIES 15 to 17 years
S0101_C01_022E,Estimate Total Total population SELECTED AGE CATEGORIES Under 18 years
S0101_C01_023E,Estimate Total Total population SELECTED AGE CATEGORIES 18 to 24 years
S0101_C01_024E,Estimate Total Total population SELECTED AGE CATEGORIES 15 to 44 years
S0101_C01_025E,Estimate Total Total population SELECTED AGE CATEGORIES 16 years and over
S0101_C01_026E,Estimate Total Total population SELECTED AGE CATEGORIES 18 years and over
S0101_C01_027E,Estimate Total Total population SELECTED AGE CATEGORIES 21 years and over
S0101_C01_028E,Estimate Total Total population SELECTED AGE CATEGORIES 60 years and over
S0101_C01_029E,Estimate Total Total population SELECTED AGE CATEGORIES 62 years and over
S0101_C01_030E,Estimate Total Total population SELECTED AGE CATEGORIES 65 years and over
S0101_C01_031E,Estimate Total Total population SELECTED AGE CATEGORIES 75 years and over
S0101_C01_032E,Estimate Total Total population SUMMARY INDICATORS Median age (years)
S0101_C01_033E,Estimate Total Total population SUMMARY INDICATORS Sex ratio (males per 100 females)
S0101_C01_034E,Estimate Total Total population SUMMARY INDICATORS Age dependency ratio
S0101_C01_035E,Estimate Total Total population SUMMARY INDICATORS Old-age dependency ratio
S0101_C01_036E,Estimate Total Total population SUMMARY INDICATORS Child dependency ratio
S0101_C01_037E,Estimate Total Total population PERCENT ALLOCATED Sex
S0101_C01_038E,Estimate Total Total population PERCENT ALLOCATED Age
S0101_C02_001E,Estimate Percent Total population
S0101_C02_002E,Estimate Percent Total population AGE Under 5 years
S0101_C02_003E,Estimate Percent Total population AGE 5 to 9 years
S0101_C02_004E,Estimate Percent Total population AGE 10 to 14 years
S0101_C02_005E,Estimate Percent Total population AGE 15 to 19 years
S0101_C02_006E,Estimate Percent Total population AGE 20 to 24 years
S0101_C02_007E,Estimate Percent Total population AGE 25 to 29 years
S0101_C02_008E,Estimate Percent Total population AGE 30 to 34 years
S0101_C02_009E,Estimate Percent Total population AGE 35 to 39 years
S0101_C02_010E,Estimate Percent Total population AGE 40 to 44 years
S0101_C02_011E,Estimate Percent Total population AGE 45 to 49 years
S0101_C02_012E,Estimate Percent Total population AGE 50 to 54 years
S0101_C02_013E,Estimate Percent Total population AGE 55 to 59 years
S0101_C02_014E,Estimate Percent Total population AGE 60 to 64 years
S0101_C02_015E,Estimate Percent Total population AGE 65 to 69 years
S0101_C02_016E,Estimate Percent Total population AGE 70 to 74 years
S0101_C02_017E,Estimate Percent Total population AGE 75 to 79 years
S0101_C02_018E,Estimate Percent Total population AGE 80 to 84 years
S0101_C02_019E,Estimate Percent Total population AGE 85 years and over
S0101_C02_020E,Estimate Percent Total population SELECTED AGE CATEGORIES 5 to 14 years
S0101_C02_021E,Estimate Percent Total population SELECTED AGE CATEGORIES 15 to 17 years
S0101_C02_022E,Estimate Percent Total population SELECTED AGE CATEGORIES Under 18 years
S0101_C02_023E,Estimate Percent Total population SELECTED AGE CATEGORIES 18 to 24 years
S0101_C02_024E,Estimate Percent Total population SELECTED AGE CATEGORIES 15 to 44 years
S0101_C02_025E,Estimate Percent Total population SELECTED AGE CATEGORIES 16 years and over
S0101_C02_026E,Estimate Percent Total population SELECTED AGE CATEGORIES 18 years and over
S0101_C02_027E,Estimate Percent Total population SELECTED AGE CATEGORIES 21 years and over
S0101_C02_028E,Estimate Percent Total population SELECTED AGE CATEGORIES 60 years and over
S0101_C02_029E,Estimate Percent Total population SELECTED AGE CATEGORIES 62 years and over
S0101_C02_030E,Estimate Percent Total population SELECTED AGE CATEGORIES 65 years and over
S0101_C02_031E,Estimate Percent Total population SELECTED AGE CATEGORIES 75 years and over
S0101_C02_032E,Estimate Percent Total population SUMMARY INDICATORS Median age (years)
S0101_C02_033E,Estimate Percent Total population SUMMARY INDICATORS Sex ratio (males per 100 females)
S0101_C02_034E,Estimate Percent Total population SUMMARY INDICATORS Age dependency ratio
S0101_C02_035E,Estimate Percent Total population SUMMARY INDICATORS Old-age dependency ratio
S0101_C02_036E,Estimate Percent Total population SUMMARY INDICATORS Child dependency ratio
S0101_C02_037E,Estimate Percent Total population PERCENT ALLOCATED Sex
S0101_C02_038E,Estimate Percent Total population PERCENT ALLOCATED Age
S0101_C03_001E,Estimate Male Total population
S0101_C03_002E,Estimate Male Total population AGE Under 5 years
S0101_C03_003E,Estimate Male Total population AGE 5 to 9 years
